# Obs cases, Mean cases, Std Dev cases, Mean R(t), Std Dev R(t), Mean Active, Std Dev Active, Obs dead, Mean dead, Std Dev dead, 03/03-2020 23/10-2020
        3,       10,      1.8, 3.02, 0.56,       10,      1.8,        0,        0,      0.0
        4,       10,      1.4, 3.47, 0.23,        8,      1.2,        0,        0,      0.0
        9,        9,     11.6, 3.77, 0.14,       37,     30.7,        0,        0,      0.1
       10,       12,      7.5, 3.77, 0.12,        8,     10.0,        0,        0,      0.0
       16,       17,      2.3, 3.77, 0.10,       13,      1.6,        1,        0,      0.0
       18,       22,      1.6, 3.71, 0.08,       16,      1.0,        1,        0,      0.0
       22,       29,      1.4, 3.60, 0.06,       20,      0.8,        1,        0,      0.0
       30,       38,      1.3, 3.48, 0.05,       26,      0.7,        1,        0,      0.0
       41,       49,      1.2, 3.36, 0.04,       33,      0.7,        1,        0,      0.0
       60,       64,      1.1, 3.23, 0.03,       42,      0.6,        1,        0,      0.1
       92,       83,      1.1, 3.10, 0.02,       53,      0.5,        2,        0,      0.1
      102,      106,      1.0, 2.97, 0.01,       65,      0.5,        2,        1,      0.1
      118,      132,      0.9, 2.83, 0.01,       81,      0.5,        2,        1,      0.1
      144,      165,      0.9, 2.66, 0.01,       99,      0.5,        2,        1,      0.1
      195,      205,      0.9, 2.52, 0.01,      119,      0.4,        2,        1,      0.1
      242,      252,      0.8, 2.38, 0.01,      141,      0.4,        3,        1,      0.1
      280,      307,      0.8, 2.25, 0.00,      165,      0.4,        3,        2,      0.1
      361,      368,      0.7, 2.14, 0.00,      189,      0.4,        3,        3,      0.1
      428,      437,      0.7, 2.04, 0.00,      214,      0.4,        4,        4,      0.1
      507,      511,      0.7, 1.95, 0.00,      241,      0.4,        4,        5,      0.1
      607,      590,      0.6, 1.87, 0.00,      267,      0.4,        4,        6,      0.1
      719,      673,      0.6, 1.79, 0.00,      294,      0.4,        7,        8,      0.1
      831,      762,      0.6, 1.71, 0.00,      320,      0.4,       11,       10,      0.2
      934,      857,      0.6, 1.64, 0.00,      347,      0.4,       15,       12,      0.2
     1046,      957,      0.6, 1.58, 0.00,      372,      0.4,       17,       16,      0.2
     1131,     1063,      0.6, 1.51, 0.00,      397,      0.4,       19,       18,      0.2
     1219,     1171,      0.6, 1.45, 0.00,      419,      0.3,       22,       21,      0.2
     1344,     1281,      0.6, 1.39, 0.00,      439,      0.3,       25,       25,      0.2
     1436,     1391,      0.6, 1.35, 0.00,      455,      0.3,       28,       30,      0.2
     1541,     1501,      0.6, 1.31, 0.00,      470,      0.3,       35,       34,      0.2
     1674,     1612,      0.6, 1.28, 0.00,      482,      0.3,       40,       39,      0.2
     1784,     1723,      0.6, 1.25, 0.00,      493,      0.3,       43,       44,      0.2
     1880,     1835,      0.6, 1.24, 0.00,      503,      0.3,       46,       49,      0.2
     1947,     1947,      0.7, 1.23, 0.00,      512,      0.3,       55,       55,      0.2
     2074,     2061,      0.7, 1.22, 0.00,      522,      0.3,       62,       60,      0.2
     2186,     2177,      0.7, 1.22, 0.00,      532,      0.3,       68,       66,      0.2
     2288,     2294,      0.7, 1.21, 0.00,      542,      0.3,       79,       72,      0.3
     2409,     2414,      0.7, 1.21, 0.00,      552,      0.3,       87,       78,      0.3
     2498,     2536,      0.7, 1.21, 0.00,      563,      0.3,       92,       84,      0.3
     2635,     2661,      0.6, 1.21, 0.00,      575,      0.3,       97,       91,      0.3
     2757,     2788,      0.6, 1.21, 0.00,      589,      0.2,      101,       98,      0.3
     2907,     2920,      0.6, 1.21, 0.00,      602,      0.2,      108,      105,      0.3
     3027,     3054,      0.6, 1.21, 0.00,      616,      0.2,      117,      112,      0.3
     3172,     3192,      0.6, 1.22, 0.00,      631,      0.2,      125,      120,      0.3
     3305,     3334,      0.6, 1.22, 0.00,      645,      0.2,      133,      128,      0.3
     3445,     3479,      0.6, 1.22, 0.00,      660,      0.2,      139,      136,      0.3
     3569,     3627,      0.6, 1.22, 0.00,      675,      0.2,      143,      144,      0.3
     3684,     3779,      0.6, 1.21, 0.00,      690,      0.2,      152,      153,      0.3
     3857,     3934,      0.6, 1.21, 0.00,      705,      0.2,      159,      162,      0.3
