# Mean cases, Std Dev cases, Mean R(t), Std Dev R(t), Mean Active, Std Dev Active, Mean dead, Std Dev dead, 17/10-2020
      197,      1.3, 1.94, 0.10,       44,      0.7,        6,      0.4
      210,      1.5, 1.94, 0.10,       48,      0.8,        6,      0.4
      224,      1.8, 1.94, 0.10,       52,      0.9,        6,      0.5
      240,      2.1, 1.96, 0.10,       57,      1.2,        7,      0.5
      257,      2.6, 1.98, 0.10,       62,      1.6,        7,      0.5
      276,      3.4, 2.00, 0.10,       68,      2.1,        7,      0.6
      297,      4.4, 2.02, 0.10,       75,      2.8,        8,      0.6
      320,      5.7, 2.04, 0.10,       82,      3.6,        8,      0.7
      345,      7.4, 2.06, 0.10,       90,      4.5,        9,      0.7
      373,      9.5, 2.08, 0.10,       99,      5.7,        9,      0.8
      404,     12.1, 2.10, 0.10,      109,      7.0,       10,      0.8
      438,     15.1, 2.12, 0.10,      121,      8.6,       11,      0.9
      476,     18.9, 2.14, 0.10,      133,     10.5,       12,      1.0
      518,     23.3, 2.16, 0.10,      148,     12.7,       12,      1.1
      566,     28.6, 2.17, 0.10,      164,     15.2,       13,      1.2
      618,     34.8, 2.19, 0.10,      182,     18.2,       14,      1.3
      677,     42.3, 2.21, 0.10,      202,     21.7,       15,      1.4
      743,     51.0, 2.21, 0.10,      225,     25.8,       17,      1.6
      816,     61.3, 2.21, 0.10,      251,     30.5,       18,      1.7
      898,     73.3, 2.21, 0.10,      280,     35.9,       20,      1.9
      989,     87.4, 2.21, 0.10,      312,     42.3,       21,      2.2
     1090,    103.8, 2.20, 0.10,      348,     49.5,       23,      2.4
     1204,    122.8, 2.20, 0.10,      388,     58.0,       25,      2.7
     1330,    145.0, 2.20, 0.10,      432,     67.6,       27,      3.0
     1470,    170.6, 2.20, 0.10,      481,     78.8,       30,      3.4
     1626,    200.3, 2.20, 0.10,      536,     91.5,       33,      3.9
     1801,    234.6, 2.19, 0.10,      598,    106.2,       36,      4.4
     1995,    274.2, 2.19, 0.10,      666,    123.0,       40,      5.0
     2211,    319.8, 2.19, 0.10,      741,    142.2,       43,      5.7
     2451,    372.2, 2.19, 0.10,      826,    164.2,       48,      6.5
     2718,    432.5, 2.19, 0.10,      919,    189.3,       53,      7.5
