# Mean cases, Std Dev cases, Mean R(t), Std Dev R(t), Mean Active, Std Dev Active, Mean dead, Std Dev dead, 17/10-2020
     1397,      1.3, 1.28, 0.09,      196,      0.6,       61,      0.5
     1442,      1.5, 1.28, 0.09,      202,      0.7,       63,      0.5
     1489,      2.2, 1.28, 0.09,      208,      1.5,       65,      0.5
     1537,      3.7, 1.29, 0.09,      214,      2.9,       68,      0.5
     1587,      6.0, 1.31, 0.09,      220,      4.6,       70,      0.5
     1639,      9.0, 1.33, 0.09,      227,      6.5,       73,      0.6
     1693,     12.6, 1.35, 0.09,      235,      8.7,       75,      0.6
     1749,     17.0, 1.37, 0.09,      243,     11.1,       78,      0.6
     1807,     22.0, 1.39, 0.09,      252,     13.6,       80,      0.6
     1868,     27.7, 1.41, 0.09,      262,     16.4,       83,      0.7
     1932,     34.3, 1.43, 0.09,      272,     19.4,       86,      0.7
     1999,     41.7, 1.44, 0.09,      284,     22.7,       89,      0.7
     2070,     50.2, 1.46, 0.09,      297,     26.2,       92,      0.8
     2144,     59.6, 1.48, 0.09,      310,     30.1,       95,      0.8
     2223,     70.2, 1.50, 0.09,      325,     34.3,       98,      0.9
     2306,     82.1, 1.52, 0.09,      342,     38.9,      102,      1.0
     2393,     95.3, 1.54, 0.09,      359,     43.9,      105,      1.2
     2486,    110.1, 1.54, 0.09,      378,     49.3,      109,      1.4
     2584,    126.4, 1.53, 0.09,      399,     55.3,      113,      1.6
     2688,    144.5, 1.53, 0.09,      421,     61.7,      117,      1.8
     2797,    164.5, 1.53, 0.09,      443,     68.7,      121,      2.1
     2912,    186.5, 1.52, 0.09,      468,     76.3,      125,      2.5
     3033,    210.7, 1.52, 0.09,      493,     84.4,      129,      2.9
     3161,    237.2, 1.52, 0.09,      520,     93.2,      134,      3.4
     3296,    266.2, 1.52, 0.09,      548,    102.7,      139,      3.9
     3437,    297.9, 1.51, 0.09,      577,    112.9,      144,      4.5
     3586,    332.4, 1.51, 0.09,      608,    123.9,      150,      5.2
     3743,    370.1, 1.51, 0.09,      640,    135.7,      155,      6.0
     3909,    411.1, 1.51, 0.09,      674,    148.3,      161,      6.8
     4083,    455.6, 1.50, 0.09,      710,    161.9,      167,      7.8
     4265,    504.0, 1.50, 0.09,      747,    176.5,      174,      8.8
